3070203;;;;Handbook of Computability Theory;;;;;Edward R. Griffor;;https://doi.org/10.1016/s0049-237x(99)x8015-3;;;978-0-444-89882-1;;books/el/99/G1999;14/05/2020;;;;;North-Holland;;;;Studies in Logic and the Foundations of Mathematics;;;;Handbook of Computability Theory;db/books/collections/G1999.html;140;1999
3066660;Sidonie Christophe;;;;;;;;;;https://tel.archives-ouvertes.fr/tel-02283421;;;;;books/hal/Christophe17;31/10/2019;;;;;;;habil;University of Marne-la-Vallée, Marne la Vallée, France;;;;;Personnalisation des représentations cartographiques en géovisualisation : couleurs et styles.;;;2017
3054131;Christian Nold;;;;;;;;;;https://www.bookworks.org.uk/node/82;;;978-1-870699-56-3;;books/daglib/0032476;14/01/2014;;;;1-127;Book Works;;;;;;;;Mobile Vulgus.;;;2001
3030840;Andrzej P. Wierzbicki|Yoshiteru Nakamori;;;;;;;;;;https://doi.org/10.1007/b137889;;;978-3-540-28458-1;;series/sci/2006-10;31/05/2017;;;;;Springer;;;;Studies in Computational Intelligence;db/series/sci/index.html;;;Creative Space: Models of Creative Processes for Knowledge Civilization Age;;10;2006
3049076;Rolf Oppliger;;;;;;;;;;;;;978-0-89006-510-5;;books/daglib/0084784;27/04/2011;;;;I-XVII, 1-186;Artech House;;;;;;;;Authentication systems for secure networks.;;;1996
3061308;Wolfgang Gentzsch;;;;;;;;;;https://www.worldcat.org/oclc/11448464;;;3528080825;;books/lib/Gentzsch84;17/07/2020;;;;I-VIII, 1-246;Vieweg;;;;Notes on numerical fluid mechanics and multidisciplinary design;;;;Vectorization of computer programs with applications to computational fluid dynamics.;;8;1984
3036383;Ahmed H. Abdelrahman|Atef Z. Elsherbeni|Fan Yang|Payam Nayeri;;0000-0003-4418-6903;Analysis and Design of Transmitarray Antennas;;;;;;;https://doi.org/10.2200/S00749ED1V01Y201612ANT012;;;;;series/synthesis/2017Abdelrahman;14/10/2021;;;;1-175;Morgan & Claypool Publishers;;;;Synthesis Lectures on Antennas;db/series/synthesis/ant.html;;;Analysis and Design of Transmitarray Antennas;;;2017
3054619;Dale Karolak;;;;;;;;;;;;;978-0-8186-7194-4;;books/daglib/0081763;12/04/2011;;;;I-X, 1-171;IEEE;;;;;;;;Software engineering risk management.;;;1996
3066458;Juan Cortés;;;;;;;;;;https://tel.archives-ouvertes.fr/tel-01110545;;;;;books/hal/Cortes14;30/09/2017;;;;;;;habil;Paul Sabatier University, Toulouse, France;;;;;Algorithmics of motion: From robotics, through structural biology, toward atomic-scale CAD. (Algorithmics du mouvement: De la robotique, à travers la biologie structurale, vers CAD échelle atomique).;;;2014
3074152;Suad Alagic;;;;;;;;;;https://doi.org/10.1007/978-3-319-61518-9;;;978-3-319-61517-2;;books/sp/Alagic17;21/09/2017;;;;1-178;Springer;;;;;;;;Software Engineering: Specification, Implementation, Verification;;;2017
3078478;Norbert Ryska|Siegfried Herda;;;;;;;;;;https://doi.org/10.1007/978-3-642-95368-2;;;3-540-09900-X;;books/sp/RyskaH80;16/05/2017;;;;;Springer;;;;Informatik-Fachberichte;db/series/ifb/index.html;;;Kryptographische Verfahren in der Datenverarbeitung;;24;1980
3036564;Atsushi Nakamura|Takaaki Hori;;;Speech Recognition Algorithms Based on Weighted Finite-State Transducers;;;;;;;https://doi.org/10.2200/S00462ED1V01Y201212SAP010;;;9781608454730|9781608454747;;series/synthesis/2013Hori;16/05/2017;;;;;Morgan & Claypool Publishers;;;;Synthesis Lectures on Speech and Audio Processing;db/series/synthesis/sap.html;;;Speech Recognition Algorithms Based on Weighted Finite-State Transducers;;;2013
3043657;;;;Software Systems Safety;;;;;Helmut Seidl|Maximilian Irlbeck|Orna Grumberg;;;;;978-1-61499-384-1|978-1-61499-385-8;;series/natosec/36;06/07/2015;;;;;IOS Press;;;;NATO Science for Peace and Security Series, D: Information and Communication Security;db/series/natosec/index.html;;;Software Systems Safety;db/series/natosec/natosec36.html;36;2014
3054744;Alistair G. Sutcliffe;;;;;;;;;;;;;978-0-8058-3951-7;;books/daglib/0020308;08/02/2011;;;;I-XX, 1-398;CRC Press;;;;;;;;The domain theory - patterns for knowledge and software reuse.;;;2002
3079031;Ali Imam Abidi|S. K. Singh;;;;;;;;;;https://doi.org/10.1007/978-981-10-5837-0;;;978-981-10-5836-3;;books/sp/AbidiS20;02/06/2020;;;;1-135;Springer;;;;;;;;Deformable Registration Techniques for Thoracic CT Images - An Insight into Medical Image Registration;;;2020
3069840;Charles N. Fischer|Richard J. LeBlanc;;;;;...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|...|books/aw/HopcroftU79|books/aw/Knuth73a|books/aw/Stroustrup86|books/fm/GareyJ79|books/ph/KernighanR78|books/ph/KernighanR88|books/sp/Gries81|conf/fm/1978|conf/popl/Appel85|conf/popl/DavidsonF82|conf/popl/FongU76|conf/popl/GlanvilleG78|conf/popl/Johnson78|conf/popl/PennelloD78|conf/sde/FischerPSJM84|conf/sigplan/BurkeF82|conf/sigplan/Chaitin82|conf/sigplan/Farrow82|conf/sigplan/GanzingerGMW82|journals/acta/FischerMQ80|journals/acta/Pager77a|journals/acta/Rohrich80|journals/acta/Watt77|journals/cacm/AhoJU75|journals/cacm/Bell73|journals/cacm/Bochmann76|journals/cacm/Cichelli80|journals/cacm/ConwayW73|journals/cacm/DeRemer71|journals/cacm/Earley70|journals/cacm/JazayeriOR75|journals/cacm/MickunasM78|journals/cacm/Patterson85|journals/cacm/Szymanski78|journals/cacm/TarjanY79|journals/cacm/TeitelbaumR81|journals/cacm/WirthW66|journals/cl/RipleyD78|journals/iandc/Knuth65|journals/ipl/MauneyF81|journals/jacm/AhoJU77|journals/jacm/HorwitzKMW66|journals/jacm/SethiU70|journals/jcss/Valiant75|journals/mst/Knuth68|journals/scp/Aretz89|journals/spe/LogothetisM81|journals/toplas/AhoGT89|journals/toplas/Baker82|journals/toplas/Cattell80|journals/toplas/DavidsonF80|journals/toplas/DeRemerP82|journals/toplas/GanapathiF85|journals/toplas/GrahamHR80|journals/toplas/Hennessy82|journals/toplas/Sethi83|journals/toplas/Soisalon-Soininen82|journals/toplas/TanenbaumSS82|journals/toplas/Wand82|journals/tse/FischerL80|journals/tse/WetherellS81;ANSI 1989|Aho and Ullman 1972|Aho and Ullman 1977|Aho et al. 1975|Aho et al. 1977|Aho et al. 1985|Aho et al. 1989|Aigrain et al. 1984|Appel 1985|Archer and Conway 1981|Aretz 1989|Baker 1982|Ball 1979|Bell 1973|Bjorner and Jones 1978|Bochmann 1976|Brodie 1981|Burke and Fisher 1982|Cattell 1980|Chaitin 1982|Christopher et al. 1984|Cichelli 1980|Cocke 1970|Cocke and Schwartz 1970|Conway 1972|Conway and Wilcox 1973|Cormack 1981|Davidson and Fraser 1982|Davidson and Fraser 1984|DeRemer 1969|DeRemer 1971|DeRemer and Pennello 1982|Dion 1982|Druseikis and Ripley 1976|Earley 1970|Farrow 1982|Fischer and LeBlanc 1977|Fischer and LeBlanc 1980|Fischer et al. 1979|Fischer et al. 1980|Fischer et al. 1984|Fleck 1976|Fong and Ullman 1976|Fraser and Davidson 1980|Ganapathi and Fischer 1985|Ganzinger et al. 1982|Garey and Johnson 1979|Glanville and Graham 1978|Goos and Wulf 1981|Graham et al. 1980|Graham, Haley and Joy 1979|Graham, Joy and Roubine 1979|Gray 1988|Gries 1981|Hennessy 1982|Hopcroft and Ullman 1969|Hopcroft and Ullman 1979|Horwitz at al. 1966|Hsu 1987|Jacobson 1987|James 1972|Jazayeri and Walter 1975|Jazayeri et al. 1975|Johnson 1975|Johnson 1978|Johnsson 1975|Kernighan and Ritchie 1978|Kernighan and Ritchie 1988|Kim 1978|Knuth 1965|Knuth 1968|Knuth 1973|LeBlanc and Mongiovi 1983|Lesk and Schmidt 1975|Lewis et al. 1976|Logothetis and Mishra 1981|Magnusson 1982|Mauney 1982|Mauney and Fischer 1981|McCarthy 1965|McKeeman 1965|Mickunas and Modry 1978|Nestor et al. 1981|Notkin 1985|Pager 1977|Patterson 1985|Paxson 1990|Pennello and DeRemmer 1978|Perkins and Sites 1979|Pratt 1975|Ripley and Druseikis 1978|Roehrich 1980|Rowland 1977|Sethi 1983|Sethi and Ullman 1970|Soisalon-Soininen 1982|Stallman 1989|Steel 1961|Stroustrup 1986|Sussman 1981|Szymanski 1978|Tanenbaum 1974|Tanenbaum et al. 1982|Tarjan and Yao 1979|Teitelbaum and Reps 1981|Valiant 1975|WATFIV 1981|Wand 1982|Watt 1977|Wetherell and Shannon 1981|Wilcox 1971|Wirth 1976|With and Weber 1966|Wulf 1981|Zellweger 1983;;;;;;;0-8053-2166-7;;books/bc/FischerL1991;05/01/2004;;;;;Benjamin/Cummings;;;;;;;;Crafting a Compiler with C;;;1991
3050528;David Flanagan;;;;;;;;;;;;;978-1-56592-193-1;;books/daglib/0084751;27/04/2011;;;;I-XV, 1-454;O'Reilly;;;;;;;;JavaScript - the definitive guide: activate your HTML pages.;;;1996
